_id|fLKR|fOWN
000470850||A150
000470863||A150
000470886||A150
000470900||A150
000470931||A150
000471007||A150
000471033||A150
000471041||A150
000471095||A150
000471095||A150
000471148||A150
000471172||A150
000471174||A150
000471420|002619046|A150
000471476||A150
000471572|006598891|A150
000471620||A150
000471645||A150
000471647|000281948|A150
000471707||A150
000471729|006599163|A150
000471763||A150
000471835||A150
000472003||A150
000472373||A150
000472380||A150
000472485||A150
000472568||A150
000472627||A150
000472818||A150
000472835||A150
000472874||A150
000472921||A150
000472958||A150
000473065||A150
000473084||A150
000473145||A150
000473169||A150
000473199||A150
000473256||A150
000473262||A150
000473297||A150
000473321||A150
000473409||A150
000473456||A150
000473488||A150
000473567||A150
000473774|000038376|PUBLIC
000473814|000384304|A334
000473822|005564686|B405
000473846|006515526|B513
000473887|001013142|B455
000473901|002791107|A348
000473995|000760121|A334
000474007|006423012|PUBLIC
000474124|000069547|A164
000474291|006499248|A100
000474423|002761457|PUBLIC
000474445|000990894|A302
000474608|000104280|A164
000474728|002400429|A125
000474729|002400429|A125
000474730|002400429|A125
000474792|006175644|B500
000474793|006175644|B500
000475096|000089590|PUBLIC
000475132|006641603|A164
000475220|002009479|PUBLIC
000475419|004246595|PUBLIC
000475444|002263486|B571
000475454|006507487|B434
000475690|000126121|A150
000476277|000067344|B400
000476563|003854875|B400
000476573|006650343|B400
000477910|000547159|PUBLIC
000478336|000148122|B501
000478561|004612504|B500
000478668|001488984|B589
000479099|002079445|B490
000480349|003057062|PUBLIC
000480441|001316535|A248
000480489|006679812|A150
000480563|006680673|B400
000480954|006280317|A258
000481061|006680680|B500
000481062|006680680|B500
000481694|006691362|B501
000481773|000935174|A342
000481841|006328335|A332
000481914|003732045|B415
000482064|006319431|B498
000482331|006696804|A300
000482398|004625615|A164
000482526|000138074|A150
000482766|006705169|B405
000482914|006630203|A100
000483148|000043100|B505
000483254|000181706|A332
000483275|000258646|A332
000483357|006712665|A310
000483452|000056279|B464
000483540|000807330|B500
000483631|006714887|A100
000483683|006344213|A310
000483877|004072668|A332
000483936|000580806|B452
000483966|005832745|B405
000484116|000240135|A332
000484117|000240135|A332
000484121|006719936|B405
000484204|006692527|A310
000484215|003640993|B500
000484517|000205158|B579
000484518|000205158|B579
000484784|000109249|A164
000484894|000106140|PUBLIC
000485128|000040866|A166
000485129|000040866|A166
000485205|000829998|A152
000485223|000067199|A152
000485378|003539414|A160
000485468|006725599|A332
000485473|000240135|A332
000485692|001505712|B415
000485712|006214635|A150
000485741|006608380|B405
000485976|003678908|B488
000486043|000017301|A258
000486262|006744924|PUBLIC
000487130|006749879|B589
000487195|000910997|B579
000487368|000018310|B589
000487497|006758148|A332
000487508|001147631|A332
000487533|006604726|A150
000487571|000010540|B579
000487574|001598383|B500
000487607|006756532|B498
000487675|002492168|A296
000487728|006761704|B429
000487899|000282357|B579
000487908|000305592|B579
000488220|004644815|B500
000488677|000984095|B579
000488710|006630242|B579
000488732|000277816|B400
000488804|006774375|A310
000488822|000518001|PUBLIC
000488869|000652007|B579
000489213|006778246|A164
000489362|000016440|PUBLIC
000489565|001976853|A164
000489650|000592697|A208
000489697|000106102|B505
000489762|006637612|B418
000489768|006683651|A332
000489924|000079992|B579
000490009|000183215|A150
000490578|005601657|A164
000490673|006792169|A150
000490799|000742194|B517
000491129|005630242|PUBLIC
000491347|006801671|B500
000491490|006778925|PUBLIC
000491674|006804007|B440
000491734|006704749|A125
000491838|006775468|B517
000491908|000021296|B552
000491964|006803265|A160
000492372|006811137|B434
000492374|006811137|B434
000492445|000990503|B557
000492723|001516984|A160
000492735|000014243|PUBLIC
000492946|006820697|B400
000493072|003977801|A160
000493084|006259065|B500
000493156|000421949|A160
000493304|006701547|PUBLIC
000493464|006711473|B555
000493570|006789543|B591
000493609|006827660|B418
